,Date,Open*,High,Low,Close**,Volume,Market Cap
0,"Sep 05, 2019",3.28,3.32,2.8,3.24,6395206,51115416
1,"Sep 04, 2019",3.33,3.34,3.18,3.28,6612490,51772263
2,"Sep 03, 2019",3.32,3.39,3.23,3.33,4763388,52623713
3,"Sep 02, 2019",3.25,3.35,3.18,3.32,3787258,52399701
4,"Sep 01, 2019",3.32,3.34,3.24,3.25,3416889,51308594
5,"Aug 31, 2019",3.24,3.34,3.2,3.33,4538794,52562506
6,"Aug 30, 2019",3.2,3.27,3.18,3.24,3161449,51164278
7,"Aug 29, 2019",3.4,3.42,3.1,3.2,4514934,50558059
8,"Aug 28, 2019",3.57,3.59,3.33,3.4,4089449,53662114
9,"Aug 27, 2019",3.71,3.73,3.43,3.58,4482326,56487385
10,"Aug 26, 2019",3.42,3.75,3.42,3.72,5350981,58781073
11,"Aug 25, 2019",3.59,3.63,3.37,3.42,4766589,54009823
12,"Aug 24, 2019",3.5,3.76,3.43,3.59,6749680,56691328
13,"Aug 23, 2019",3.42,3.55,3.41,3.5,5415686,55299971
14,"Aug 22, 2019",3.27,3.45,3.24,3.42,4179829,54069486
15,"Aug 21, 2019",3.4,3.44,3.16,3.27,3661076,51691478
16,"Aug 20, 2019",3.45,3.46,3.34,3.4,3440367,53636536
17,"Aug 19, 2019",3.44,3.45,3.36,3.45,4068778,54495387
18,"Aug 18, 2019",3.32,3.49,3.29,3.44,3701286,54396535
19,"Aug 17, 2019",3.17,3.4,3.15,3.32,4027972,52510080
20,"Aug 16, 2019",3.32,3.35,3.14,3.18,3813973,50164659
21,"Aug 15, 2019",3.38,3.42,3.18,3.32,4475776,52402801
22,"Aug 14, 2019",3.64,3.66,3.37,3.38,4415600,53354433
23,"Aug 13, 2019",3.88,3.89,3.6,3.65,4132330,57678822
24,"Aug 12, 2019",3.93,3.97,3.83,3.87,4249373,61171390
25,"Aug 11, 2019",3.86,3.97,3.81,3.9,4833999,61647639
26,"Aug 10, 2019",3.93,3.95,3.81,3.86,4445367,61003042
27,"Aug 09, 2019",3.88,4.0,3.7,3.93,8922469,62051386
28,"Aug 08, 2019",3.98,4.01,3.8,3.88,5489284,61236490
29,"Aug 07, 2019",3.94,4.09,3.91,3.97,4989695,62766966
30,"Aug 06, 2019",4.04,4.1,3.89,3.94,5401029,62261339
31,"Aug 05, 2019",4.16,4.24,3.97,4.04,5868590,63805024
32,"Aug 04, 2019",4.25,4.27,4.06,4.16,5065599,65730941
33,"Aug 03, 2019",4.3,4.39,4.23,4.25,4353654,67102175
34,"Aug 02, 2019",4.44,4.46,4.27,4.31,4983893,67998163
35,"Aug 01, 2019",4.42,4.46,4.28,4.43,4845058,69940088
36,"Jul 31, 2019",4.42,4.5,4.35,4.41,5449887,69664492
37,"Jul 30, 2019",4.44,4.62,4.37,4.42,6065676,69766253
38,"Jul 29, 2019",4.45,4.51,4.36,4.44,6135519,70046513
39,"Jul 28, 2019",4.28,4.56,4.26,4.45,5616979,70331863
40,"Jul 27, 2019",4.55,4.63,4.24,4.29,5139635,67814090
41,"Jul 26, 2019",4.61,4.62,4.47,4.55,5619369,71859996
42,"Jul 25, 2019",4.71,4.82,4.59,4.61,6498172,72757558
43,"Jul 24, 2019",4.32,5.65,4.24,4.71,24768697,74429708
44,"Jul 23, 2019",4.54,4.56,4.31,4.32,4911155,68304789
45,"Jul 22, 2019",4.64,4.74,4.43,4.54,5879937,71672562
46,"Jul 21, 2019",4.72,4.79,4.49,4.64,4156584,73305085
47,"Jul 20, 2019",4.62,4.84,4.56,4.73,4944784,74761154
48,"Jul 19, 2019",4.76,4.78,4.45,4.61,5118526,72860311
49,"Jul 18, 2019",4.51,4.8,4.34,4.76,6934731,75186401
50,"Jul 17, 2019",4.02,4.92,4.01,4.5,9430598,71097150
51,"Jul 16, 2019",5.11,5.21,4.01,4.01,5986753,63401701
52,"Jul 15, 2019",5.28,5.28,4.83,5.11,5222435,80711603
53,"Jul 14, 2019",5.64,5.91,5.24,5.26,4949186,83097794
54,"Jul 13, 2019",5.64,5.68,5.47,5.64,3258556,89084260
55,"Jul 12, 2019",5.48,5.73,5.48,5.64,6624584,89095719
56,"Jul 11, 2019",5.86,5.88,5.34,5.47,7007030,86334083
57,"Jul 10, 2019",5.99,6.08,5.8,5.86,7436872,92507801
58,"Jul 09, 2019",6.02,6.18,5.9,5.99,6591855,94626705
59,"Jul 08, 2019",6.08,6.33,5.99,6.02,7350996,95015190
60,"Jul 07, 2019",5.96,6.18,5.91,6.07,5118370,95927645
61,"Jul 06, 2019",5.95,6.27,5.94,5.96,6081070,94098910
62,"Jul 05, 2019",5.97,6.25,5.81,5.95,8304740,93902392
63,"Jul 04, 2019",6.1,6.21,5.94,5.98,6140197,94434371
64,"Jul 03, 2019",6.11,6.21,5.94,6.11,8985627,96508363
65,"Jul 02, 2019",6.2,6.26,5.71,6.1,8840191,96372157
66,"Jul 01, 2019",5.83,6.65,5.83,6.2,13495611,97877356
67,"Jun 30, 2019",6.24,6.54,5.83,5.84,8140034,92168518
68,"Jun 29, 2019",6.25,6.31,5.95,6.24,8702455,98613350
69,"Jun 28, 2019",5.68,6.27,5.66,6.24,8748308,98615864
70,"Jun 27, 2019",6.39,6.58,5.55,5.67,12239029,89598985
71,"Jun 26, 2019",7.59,7.68,5.97,6.39,23889450,100941019
72,"Jun 25, 2019",6.22,7.78,6.15,7.59,37172861,119933266
73,"Jun 24, 2019",6.22,6.35,6.11,6.23,7980024,98368751
74,"Jun 23, 2019",6.09,6.39,6.04,6.22,8893741,98210525
75,"Jun 22, 2019",6.09,6.35,5.89,6.09,12626797,96137464
76,"Jun 21, 2019",6.07,6.16,5.97,6.09,8533392,96144154
77,"Jun 20, 2019",6.33,6.36,5.93,6.07,12446598,95931874
78,"Jun 19, 2019",6.22,6.4,6.21,6.33,6625073,99976138
79,"Jun 18, 2019",6.22,6.26,6.07,6.24,5993033,98506831
80,"Jun 17, 2019",6.3,6.44,6.17,6.23,6645018,98326218
81,"Jun 16, 2019",6.23,6.43,6.16,6.3,8749363,99489344
82,"Jun 15, 2019",6.35,6.44,6.21,6.23,8907364,98427037
83,"Jun 14, 2019",6.59,6.68,6.18,6.34,10245477,100205223
84,"Jun 13, 2019",6.62,6.68,6.49,6.58,9368831,103966583
85,"Jun 12, 2019",6.68,6.7,6.41,6.62,11439138,104522155
86,"Jun 11, 2019",6.29,6.99,6.29,6.67,22920025,105387536
87,"Jun 10, 2019",5.95,6.3,5.86,6.29,10624537,99312118
88,"Jun 09, 2019",6.19,6.32,5.84,5.96,10731506,94174027
89,"Jun 08, 2019",6.0,6.76,5.99,6.19,16644348,97712268
90,"Jun 07, 2019",5.93,6.08,5.86,6.01,11840834,94938663
91,"Jun 06, 2019",5.92,6.12,5.61,5.93,13146312,93585101
92,"Jun 05, 2019",5.91,6.07,5.81,5.93,14099852,93627572
93,"Jun 04, 2019",6.17,6.21,5.78,5.9,12751666,93234782
