,#,Name,Symbol,Market Cap,Price,Circulating Supply,Volume (24h),% 1h,% 24h,% 7d,Unnamed: 10
0,1,BTC Bitcoin,BTC,"$1,144,602,625",$99.76,11474025,Low Vol,-0.07%,5.77%,10.61%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
1,2,LTC Litecoin,LTC,"$59,091,798",$2.98,19844180,Low Vol,-0.30%,3.33%,3.06%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
2,3,NMC Namecoin,NMC,"$3,755,532",$0.613499,6121493,Low Vol,-0.04%,1.83%,25.53%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
3,4,PPC Peercoin,PPC,"$2,721,122",$0.137664,19766366,Low Vol,-0.04%,3.17%,-1.64%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
4,5,NVC Novacoin,NVC,"$1,976,020",$6.01,328773,Low Vol,0.70%,-0.96%,58.21%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
5,6,FTC Feathercoin,FTC,"$1,013,854",$0.087806,11546500,Low Vol,-0.04%,1.98%,9.25%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
6,7,XPM Primecoin,XPM,"$904,374",$0.723231,1250464,Low Vol,-0.04%,-1.23%,-27.15%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
7,8,TRC Terracoin,TRC,"$461,231",$0.131747,3500890,Low Vol,-0.04%,-1.62%,-11.41%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
8,9,DVC Devcoin,DVC,"$267,290",$0.000054,4961920000,Low Vol,-0.04%,-3.67%,5.61%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
9,10,FRC Freicoin,FRC,"$208,635",$0.009078,22983058,Low Vol,-0.04%,-1.72%,-15.28%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
10,11,DGC Digitalcoin,DGC,"$177,525",$0.029928,5931793,Low Vol,-0.59%,8.46%,-12.44%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
11,12,MEC Megacoin,MEC,"$153,304",$0.009974,15371000,Low Vol,1.21%,-23.18%,-27.68%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
12,13,WDC WorldCoin,WDC,"$108,739",$0.007982,13622232,Low Vol,-2.98%,-8.95%,-30.97%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
13,14,PXC Phoenixcoin,PXC,"$94,141",$0.027148,3467750,Low Vol,-4.21%,2.24%,-30.85%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
14,15,YAC Yacoin,YAC,"$84,116",$0.017258,4874093,Low Vol,-3.93%,15.06%,-1.43%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
15,16,FST Fastcoin,FST,"$72,307",$0.005187,13939168,Low Vol,-3.40%,-30.28%,13.36%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
16,17,BQC BBQCoin,BQC,"$64,772",$0.003013,21500016,Low Vol,-0.04%,-2.91%,-18.33%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
17,18,IXC Ixcoin,IXC,"$56,789",$0.003946,"14,390,258 *",Low Vol,-0.07%,8.23%,0.82%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
18,19,IFC Infinitecoin,IFC,"$48,077",$7.7e-07,62102962176,Low Vol,5.44%,52.45%,90.21%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
19,20,FRK Franko,FRK,"$46,266",$1.05,44170,Low Vol,16.62%,-10.28%,-5.63%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
20,21,CNC CHNCoin,CNC,"$30,935",$0.005886,5256114,Low Vol,-0.04%,6.51%,-49.66%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
21,22,MNC Mincoin,MNC,"$30,404",$0.024941,1219057,Low Vol,-0.04%,-9.93%,-31.63%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
22,23,ANC Anoncoin,ANC,"$28,931",$0.088663,326308,Low Vol,-0.04%,-6.89%,37.18%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
23,24,LKY Luckycoin,LKY,"$26,812",$0.004669,5743112,Low Vol,-2.56%,5.17%,7.32%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
24,25,GLC GoldCoin,GLC,"$22,716",$0.000961,23637450,Low Vol,0.26%,8.93%,48.66%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
25,26,CAP Bottlecaps,CAP,"$22,550",$0.045100,500001,Low Vol,-0.04%,1.10%,-33.07%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
26,27,BTB BitBar,BTB,"$18,330",$3.99,4594,Low Vol,-0.04%,5.78%,-19.40%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
27,28,BTE Bytecoin,BTE,"$17,953",$0.019452,922900,Low Vol,-0.04%,-28.01%,?,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
28,29,ARG Argentum,ARG,"$17,088",$0.043894,389296,Low Vol,-0.04%,-6.92%,-46.83%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
