,#,Name,Symbol,Market Cap,Price,Circulating Supply,Volume (24h),% 1h,% 24h,% 7d,Unnamed: 10
0,1,BTC Bitcoin,BTC,"$7,117,816,226",$458.55,15522525,"$40,315,028",0.16%,0.08%,1.49%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
1,2,ETH Ethereum,ETH,"$757,112,784",$9.48,79839540,"$15,030,955",-0.22%,1.51%,6.75%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
2,3,XRP XRP,XRP,"$223,293,514",$0.006404,"34,868,679,462 *","$389,914",-0.01%,-1.30%,-5.77%,Add to Watchlist Remove from Watchlist  Watchlist full! View Chart View Markets View Historical Data
3,4,LTC Litecoin,LTC,"$179,970,526",$3.94,45699376,"$1,783,968",0.44%,-0.20%,5.79%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
4,5,DASH Dash,DASH,"$43,072,011",$6.69,6435882,"$164,290",0.13%,1.80%,-1.50%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
5,6,DGD DigixDAO,DGD,"$23,831,697",$11.92,"2,000,000 *","$112,971",-0.27%,-6.44%,71.33%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
6,7,DOGE Dogecoin,DOGE,"$23,175,323",$0.000222,104248476792,"$46,961",0.30%,0.04%,-1.55%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
7,8,MAID MaidSafeCoin,MAID,"$22,701,311",$0.050163,"452,552,412 *","$307,660",-0.43%,-3.44%,-13.92%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
8,9,XEM NEM,XEM,"$13,654,292",$0.001517,"8,999,999,999 *","$34,875",0.55%,-2.53%,-5.09%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
9,10,PPC Peercoin,PPC,"$10,137,534",$0.438331,23127574,"$26,497",-0.06%,-0.04%,2.22%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
10,11,XMR Monero,XMR,"$10,054,561",$0.850586,11820741,"$76,975",0.26%,-3.17%,-7.14%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
11,12,BTS BitShares,BTS,"$9,981,192",$0.003905,"2,555,820,000 *","$48,089",0.72%,0.34%,-3.27%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
12,13,XLM Stellar,XLM,"$9,853,814",$0.001796,"5,485,679,598 *","$18,197",0.79%,-1.24%,-4.75%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
13,14,AMP HyperSpace,AMP,"$9,681,640",$0.052390,"184,800,000 *","$15,570",-2.67%,8.62%,9.01%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
14,15,FCT Factom,FCT,"$9,521,574",$1.09,"8,753,219 *","$57,032",0.25%,0.06%,-10.00%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
15,16,TIPS FedoraCoin,TIPS,"$9,217,378",$0.000022,421622898391,"$5,610",-1.30%,0.41%,30.52%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
16,17,EMC Emercoin,EMC,"$7,662,654",$0.203373,37677747,"$8,497",-0.50%,2.16%,6.68%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
17,18,STEEM Steem,STEEM,"$7,156,506",$0.310248,"23,067,070 *","$3,744",0.10%,-3.37%,-32.41%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
18,19,YBC YbCoin,YBC,"$6,780,216",$2.25,"3,008,115 *","$211,577",0.00%,-0.39%,-12.23%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
19,20,NXT Nxt,NXT,"$6,751,344",$0.006751,"999,997,096 *","$16,642",-0.57%,0.25%,-2.79%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
