,#,Name,Symbol,Market Cap,Price,Circulating Supply,Volume (24h),% 1h,% 24h,% 7d,Unnamed: 10
0,1,BTC Bitcoin,BTC,"$1,363,205,020",$121.99,11174725,Low Vol,-0.35%,-1.14%,5.70%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
1,2,LTC Litecoin,LTC,"$58,760,675",$3.30,17787454,Low Vol,-0.80%,-0.19%,0.98%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
2,3,NMC Namecoin,NMC,"$4,789,082",$0.857590,5584350,Low Vol,0.94%,5.72%,0.51%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
3,4,PPC Peercoin,PPC,"$3,934,412",$0.207383,18971716,Low Vol,-1.26%,15.47%,-14.73%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
4,5,NVC Novacoin,NVC,"$1,020,005",$3.62,281908,Low Vol,-1.48%,-2.24%,1.88%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
5,6,TRC Terracoin,TRC,"$934,991",$0.358651,2606970,Low Vol,-0.88%,-4.51%,-6.12%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
6,7,DVC Devcoin,DVC,"$906,213",$0.000201,4502170112,Low Vol,0.08%,3.91%,-8.15%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
7,8,FTC Feathercoin,FTC,"$833,819",$0.126870,6572250,Low Vol,0.34%,-0.47%,0.72%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
8,9,FRC Freicoin,FRC,"$711,435",$0.034158,20827516,Low Vol,-0.34%,7.07%,-7.13%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
9,10,CNC CHNCoin,CNC,"$485,059",$0.095152,5097714,Low Vol,0.76%,-4.04%,-0.39%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
10,11,MNC Mincoin,MNC,"$207,096",$0.195184,1061031,Low Vol,-0.35%,-12.13%,-17.93%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
11,12,IXC  Ixcoin,IXC,"$154,516",$0.012211,"12,653,618 *",Low Vol,8.43%,20.52%,-0.55%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
12,13,BTB BitBar,BTB,"$128,439",$42.70,3008,Low Vol,15.43%,-2.16%,21.68%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
13,14,BQC BBQCoin,BQC,"$123,231",$0.007075,17416812,Low Vol,-6.78%,-5.29%,-24.13%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
