,#,Name,Symbol,Market Cap,Price,Circulating Supply,Volume (24h),% 1h,% 24h,% 7d,Unnamed: 10
0,1,BTC Bitcoin,BTC,"$160,182,355,101",$9419.08,17006150,"$8,853,004,288",0.03%,0.56%,6.23%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
1,2,ETH Ethereum,ETH,"$68,289,133,715",$688.88,99130552,"$2,740,558,848",0.09%,0.45%,8.85%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
2,3,XRP XRP,XRP,"$34,165,954,382",$0.872778,"39,146,203,398 *","$896,314,304",-0.04%,-0.27%,-0.68%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
3,4,BCH Bitcoin Cash,BCH,"$24,630,734,737",$1440.30,17101088,"$1,049,453,440",-0.29%,2.16%,14.87%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
4,5,EOS EOS,EOS,"$17,769,418,732",$21.54,"824,851,747 *","$4,870,717,952",2.05%,12.89%,86.98%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
5,6,ADA Cardano,ADA,"$9,464,859,144",$0.365057,25927070538,"$671,886,720",-0.80%,-0.79%,26.86%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
6,7,LTC Litecoin,LTC,"$8,650,931,430",$153.63,56309738,"$388,081,952",-0.03%,0.68%,3.46%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
7,8,XLM Stellar,XLM,"$8,513,153,683",$0.458405,"18,571,268,218 *","$156,688,512",0.43%,5.68%,23.49%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
8,9,NEO NEO,NEO,"$5,919,666,519",$91.07,"65,000,000 *","$502,970,528",0.10%,17.50%,21.89%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
9,10,TRX TRON,TRX,"$5,861,128,951",$0.089145,65748111645,"$1,161,464,704",1.62%,8.47%,67.43%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
10,11,MIOTA IOTA,MIOTA,"$5,686,107,172",$2.05,"2,779,530,283 *","$83,230,224",0.43%,0.19%,0.43%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
11,12,XMR Monero,XMR,"$4,105,186,714",$256.87,15981498,"$92,297,176",-0.41%,-1.79%,-7.10%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
12,13,DASH Dash,DASH,"$4,008,356,130",$498.69,8037706,"$101,136,640",0.10%,0.55%,6.87%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
13,14,XEM NEM,XEM,"$3,843,049,228",$0.427005,"8,999,999,999 *","$43,274,304",0.29%,1.34%,9.67%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
14,15,VEN Vechain [Token],VEN,"$2,552,379,685",$4.85,"525,779,138 *","$157,172,256",1.51%,11.38%,24.43%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
15,16,USDT Tether,USDT,"$2,412,345,782",$0.998016,"2,417,140,814 *","$5,167,800,320",-0.09%,-0.02%,0.08%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
16,17,ETC Ethereum Classic,ETC,"$2,214,592,353",$21.83,101444620,"$271,380,000",-0.72%,0.14%,14.21%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
17,18,QTUM Qtum,QTUM,"$2,042,161,274",$23.06,"88,559,384 *","$374,562,944",-0.67%,4.95%,15.64%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
18,19,OMG OmiseGO,OMG,"$1,846,281,622",$18.09,"102,042,552 *","$93,513,688",-0.32%,0.02%,17.27%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
19,20,ICX ICON,ICX,"$1,822,055,672",$4.71,"387,231,348 *","$110,776,000",-0.75%,-2.59%,34.68%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
20,21,BNB Binance Coin,BNB,"$1,717,030,215",$15.06,"114,041,290 *","$105,494,800",0.01%,-1.03%,16.07%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
21,22,LSK Lisk,LSK,"$1,367,806,136",$12.98,"105,376,114 *","$44,480,924",-0.13%,9.34%,11.31%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
