,Company Name,Author Name,Text,Message ID,Published At,Retweet Count,Favorite Count
0,CHSB,スイスバーグ,"RT @klortu868o: https://t.co/UVhiLrNgMb
色んな意味で話題ｗのスイスボーグの社長が日本向けの説明会やっていますねーｗｗ
色々文句を言いたい人が多いと思うので、よかったらどうぞ！！
$CHSB #仮想通貨 #ICO",1169771357841739776,2019-09-06 00:36:39,1,0
1,CHSB,Schrute Buck,What do you guys think will happen to $CHZ @Chiliz when it starts trading on Binance?  $INS $BTC $DAG $MATIC $WAN… https://t.co/2OCWDMo5ve,1169741626136236036,2019-09-05 22:38:31,0,0
2,CHSB,Crypto squawk,Since 6 pm Chiliz $CHZ has increased by 14.85% (chart L) and SwissBorg $CHSB by 16.49% (chart R). Crypto markets en… https://t.co/4Unu5giEv6,1169737922603573248,2019-09-05 22:23:48,0,1
3,CHSB,Bablu,"RT @AirdropDet: 🔍 New #Airdrop: Swissborg

💲 Total reward: Up to 1750 CHSB[~$15]+ 3k points per referral+$500k worth of BTC (for 20,000 use…",1169723051895771136,2019-09-05 21:24:42,55,0
4,CHSB,CryptoMonitor🔔 [Realtime alerts & MultiConverter],$CHSB 🚀 23 +24.21%  🕐 in the last 24 hours 💵 BTC 0.00000118 / USD 0.0124 🔔 🔴 #Crypto #ToTheMoon #CHSB Telegram Bot ⬇ https://t.co/kFkLc8wL9e,1169667772281962499,2019-09-05 17:45:02,0,0
5,CHSB,CryptoMonitor🔔 [Realtime alerts & MultiConverter],$CHSB 🚀 12 +12.63%  🕐 in the last 24 hours 💵 BTC 0.00000107 / USD 0.0112 🔔 #CHSB Telegram Bot ⬇ https://t.co/kFkLc8wL9e,1169658710505000960,2019-09-05 17:09:02,0,0
6,CHSB,AlertDrop,"SWISSBORG AIRDROP📣🌟🌟🌟🌟🌟
💰up to $1654 in $BTC + $75 in #CHSB

🔹️$51M sold in #ICO
🔹️📌Click link 📌Download app

❗📌Use… https://t.co/DfidjbrNCj",1169658169968271360,2019-09-05 17:06:53,0,0
7,CHSB,VentureDrop,"SWISSBORG AIRDROP📣🌟🌟🌟🌟🌟
💰up to $1654 in $BTC + $75 in #CHSB

🔹️$51M sold in #ICO
🔹️📌Click link 📌Download app

❗📌Use… https://t.co/pCRWD1YwWp",1169658057552465920,2019-09-05 17:06:26,0,0
8,CHSB,VentureDrop,"RT @VentureDrop: SWISSBORG AIRDROP📣🌟🌟🌟🌟🌟
💰up to $1654 in $BTC + $75 in #CHSB

🔹️$51M sold in #ICO
🔹️📌Click link 📌Download app

❗📌Use this c…",1169639475879849984,2019-09-05 15:52:36,1,0
9,CHSB,AlertDrop,"RT @alertdropp: SWISSBORG AIRDROP📣🌟🌟🌟🌟🌟
💰up to $1654 in $BTC + $75 in #CHSB

🔹️$51M sold in #ICO
🔹️📌Click link 📌Download app

❗📌Use this co…",1169639374000144385,2019-09-05 15:52:12,1,0
10,CHSB,Jodi Pamungkas,"RT @AirdropDet: 🔍 New #Airdrop: Swissborg

💲 Total reward: Up to 1750 CHSB[~$15]+ 3k points per referral+$500k worth of BTC (for 20,000 use…",1169550009332686848,2019-09-05 09:57:06,55,0
11,CHSB,AlertDrop,"SWISSBORG AIRDROP📣🌟🌟🌟🌟🌟
💰up to $1654 in $BTC + $75 in #CHSB

🔹️$51M sold in #ICO
🔹️📌Click link 📌Download app

❗📌Use… https://t.co/nQ0jHpSqVM",1169523965427093504,2019-09-05 08:13:36,1,1
12,CHSB,VentureDrop,"SWISSBORG AIRDROP📣🌟🌟🌟🌟🌟
💰up to $1654 in $BTC + $75 in #CHSB

🔹️$51M sold in #ICO
🔹️📌Click link 📌Download app

❗📌Use… https://t.co/qRA5XNFOQH",1169523552355328000,2019-09-05 08:11:58,1,0
13,CHSB,rudi_algibran,"RT @VentureDrop: SWISSBORG AIRDROP📣🌟🌟🌟🌟🌟
💰up to $1654 in $BTC + $75 in #CHSB

🔹️$51M sold in #ICO
🔹️📌Click link 📌Download app

❗📌Use this c…",1169386005004029953,2019-09-04 23:05:24,3,0
14,CHSB,AlertDrop,"RT @alertdropp: SWISSBORG AIRDROP📣🌟🌟🌟🌟🌟
💰up to $1654 in $BTC + $75 in #CHSB

🔹️$51M sold in #ICO
🔹️📌Click link 📌Download app

❗📌Use this co…",1169382164246540288,2019-09-04 22:50:08,2,0
0,MCO,殺戮型紅茶花伝❦ 🐾⚠️暴走中⚠️,@Sasamiagechan49 ミチコのチュートリアルの真似,1169899079960125449,2019-09-06 09:04:10,0,0
1,MCO,Eleven ♡,RT @chachazerr: S’IL VOUS PLAÎT JE RECHERCHE URGEMMENT ( IL ME RESTE 10JOURS ) UNE ALTERNANCE A POITIERS POUR UN BTS MCO (COMMERCE) Merci d…,1169899074662780929,2019-09-06 09:04:09,85,0
2,MCO,自爆@ぽす推し(嘘),"ユニクロほんといいと思います。
見てるだけで結構幸せ 

#peing #質問箱 https://t.co/Se8lj3RYM3",1169898991883976704,2019-09-06 09:03:49,0,0
3,MCO,たゐらんと,【速報】Tyrant氏気合いでシャーペンを治す https://t.co/TIcn17LT9D,1169898961412317187,2019-09-06 09:03:42,0,0
4,MCO,エムコファミリー,グレープス：　ふらふらと、放浪していると、いろんな発見があるぜ　そんなとこに閉じこもってないで、きみも放浪してみなよ,1169898920790487045,2019-09-06 09:03:33,0,0
5,MCO,自爆@ぽす推し(嘘),"口が引くほど悪いです
そこが自分の特徴であり悪いところですかねw 

#peing #質問箱 https://t.co/fCEblTB9bG",1169898836262707201,2019-09-06 09:03:12,0,0
6,MCO,自爆@ぽす推し(嘘),"自分は新幹線の方が使うような？ 

#peing #質問箱 https://t.co/G58CLjUgYw",1169898522197426176,2019-09-06 09:01:58,0,0
7,MCO,株式会社ミヨシ a.k.a. MCO【公式】,"@seki_koe_nodo ヒッ…！恐縮です！
結局駄洒落になってしまいました😭😭😭",1169898441402535936,2019-09-06 09:01:38,0,0
8,MCO,まなたまちゃん🍏,@Miracl_MiLapule 餌に食いつく猿,1169898415821488135,2019-09-06 09:01:32,0,1
9,MCO,株式会社ミヨシ a.k.a. MCO【公式】,"@hapinavi いやん！タピってらしたんですね😭😭😭😭うらやましい…！
今日はお会いできて嬉しかったです😊お土産もありがとうございました！",1169898278642520064,2019-09-06 09:00:59,0,0
10,MCO,Juan Alvarez,"RT @MalagaLegends: 📢Desde @MalagaLegends estamos buscando un MCO jugon y puro con experiencia, juego asiciativo. En 352
Interesados MD o co…",1169898268886568960,2019-09-06 09:00:57,4,0
11,MCO,🐾ஜ❦△▼△『青春サワーズv(・∀・*)』@らーくん[Ω改],@S__Frandle @ume_chazukk ニートに向けての一言,1169898216440991745,2019-09-06 09:00:45,0,1
12,MCO,Coin Trading Analytics,"Top 100 avg 1h return: -0.2±2.2%; 31 up, 68 down
$BTC -0.1%  $ETH -0.0%
Best:
8.8% $BCN @Bytecoin_BCN
5.0% $VSYS… https://t.co/8s3eK9UtrH",1169898080717590531,2019-09-06 09:00:12,0,0
13,MCO,Ayudas_clubes,"RT @MalagaLegends: 📢Desde @MalagaLegends estamos buscando un MCO jugon y puro con experiencia, juego asiciativo. En 352
Interesados MD o co…",1169897791675494400,2019-09-06 08:59:03,4,0
14,MCO,株式会社ミヨシ a.k.a. MCO【公式】,"@hapinavi オールカラーでめちゃくちゃ読み応えありました‼️惜しむらくはすぐにお店にいけないことｗ←
これは名古屋の魅力が詰まりすぎですね…！",1169897776219484161,2019-09-06 08:59:00,0,1
0,EDO,𝐄𝐝𝐨𝐚𝐫𝐝𝐨,@canegallofede | Au pire prends-en un où ils vont Edo et Fede mais tu coupes la partie de Edo ?,1169899062130167808,2019-09-06 09:04:06,0,0
1,EDO,Abdulghaniy,"RT @StatiSense: States' Unemployed Count (Q3 2018)

Rivers: 1.7m
A/Ibom: 1.4m
Kano: 1.3m
Lagos: 1.1m
Kaduna: 940.5K
Imo: 880.4K
Delta: 791.…",1169899004726923264,2019-09-06 09:03:53,20,0
2,EDO,江戸✞®,@s14141515 俺もだべ😒😅,1169898945809506304,2019-09-06 09:03:39,0,0
3,EDO,IE💔🦅,"What’s ur tribe and can u speak the language — Half Yoruba, half Edo, and nah but I really wanna learn tbh https://t.co/YWWcrmrJOl",1169898919846744064,2019-09-06 09:03:32,0,0
4,EDO,Vicfly,"RT @INAC_Venezuela: #5Sep || Pdte #INAC Cnel Freddy Borges, acompañado de los Gerentes de la institución, realiza recorrido de inspección p…",1169898827295232001,2019-09-06 09:03:10,44,0
5,EDO,MinMujer Apure,"RT @ZonaEducApure: Fiesta Educativa🏫🎊💃🤡🤹‍♂️|| En el 5to día de Plan #AgostoEscuelasAbiertas 2019 en la Sede EEIB Sendero de Luz, con pintac…",1169898797897355264,2019-09-06 09:03:03,14,0
6,EDO,MinMujer Apure,RT @ZonaEducApure: 🏫🎊🤸‍♂️🎨|| Niños y niñas disfrutan estusiasmados con sus recreadores el Plan #AgostoEscuelasAbiertas por la Paz desde la…,1169898766997938176,2019-09-06 09:02:56,14,0
7,EDO,Ibidolapo,"RT @StatiSense: States' Unemployed Count (Q3 2018)

Rivers: 1.7m
A/Ibom: 1.4m
Kano: 1.3m
Lagos: 1.1m
Kaduna: 940.5K
Imo: 880.4K
Delta: 791.…",1169898748215824392,2019-09-06 09:02:51,20,0
8,EDO,Om edo,"@BuuloloArianto Berkali-kali studi banding ke luar negeri hsl nya gada jd tujuan sbnrnya cuma jln "" itulah kerjaan wan abud",1169898699901718531,2019-09-06 09:02:40,0,0
9,EDO,zital@mastodon.eus,"RT @zitalbot: Egunien berba edo esamolde bat, gaurkuen: 'ESTRINKE'
#bermiotarra #zitalbot
https://t.co/NUuddR4bvf",1169898605404049408,2019-09-06 09:02:17,1,0
10,EDO,ｴﾄﾞ,成長期合ってたらうれしいけど,1169898588979089408,2019-09-06 09:02:13,0,0
11,EDO,ȚMªŃ,RT @matthewamad: Na fear make Edo winch only de fly for night. Amadioha on patrol. https://t.co/SejAtkaNvq,1169898586026283009,2019-09-06 09:02:13,29,0
12,EDO,ｴﾄﾞ,もうしらんで,1169898473514098688,2019-09-06 09:01:46,0,0
13,EDO,Upcoming🚀,"RT @KanteCesc: four eyed edo boy found his way into Nicki's TL

@Alex_Houseof308 🙌🙌🙌",1169898465075159045,2019-09-06 09:01:44,4,0
14,EDO,ｴﾄﾞ,は、TAC大原よりさらにボーダー暴走しとるやん,1169898429343883264,2019-09-06 09:01:35,0,0
0,CRPT,遮那王@クリプト＆モンスト,無料は☆3が大量でしたʸᵉᵃʰ( ᐛ✌️) https://t.co/oI3WZTFAKi,1169898379461050368,2019-09-06 09:01:23,0,0
1,CRPT,Energiwik,@Louna_Crpt @JulieClerissy Si si justement fais attention à toi 😈,1169886961508610049,2019-09-06 08:16:01,0,0
2,CRPT,dinedine,😞❤️,1169884366257811462,2019-09-06 08:05:42,0,1
3,CRPT,W.HASSAN TARIQ,@haroon_natamam AS A WHOLE NATION WE R CRPT AND SUPPORT TO CRPT....,1169882333454852096,2019-09-06 07:57:38,0,0
4,CRPT,name cannot be blank,@OleBitcephus @coinbase @CashApp How do you buy bitcoin on cash app? Just installed one but.only.thing it allows to request and transfer  ££,1169877931625086977,2019-09-06 07:40:08,0,0
5,CRPT,ソラソラさん/絵描き勉強,"RT @hyutatatantan: 原曲迷子な撥条少女時計作りました〜
#コンパス
#コンパス音楽 https://t.co/7HCnUodWbx",1169875888747343875,2019-09-06 07:32:01,9,0
