,Date,Open*,High,Low,Close**,Volume,Market Cap
0,"Sep 06, 2019",174.17,177.72,168.34,169.96,6797611878,18293376881
1,"Sep 05, 2019",175.97,176.16,171.75,174.22,5589476516,18749645579
2,"Sep 04, 2019",179.49,180.14,175.33,175.99,5938120494,18938360723
3,"Sep 03, 2019",178.36,182.35,175.97,179.5,6962728938,19313265198
4,"Sep 02, 2019",171.7,180.15,170.45,178.35,6503447137,19186913439
5,"Sep 01, 2019",172.46,173.7,169.53,171.63,5554799576,18461846968
6,"Aug 31, 2019",168.89,174.32,167.8,172.47,5830212249,18549906272
7,"Aug 30, 2019",169.49,170.77,167.07,168.83,5776520220,18156660601
8,"Aug 29, 2019",173.96,174.0,167.17,169.52,7129569083,18227677831
9,"Aug 28, 2019",187.5,187.93,172.19,173.89,6696604087,18695530287
10,"Aug 27, 2019",188.95,188.96,185.47,187.52,6042327402,20158029984
11,"Aug 26, 2019",186.74,193.44,186.74,188.93,7207986636,20307338403
12,"Aug 25, 2019",191.23,192.16,184.96,186.84,5826017143,20080495261
13,"Aug 24, 2019",194.67,194.78,187.63,191.29,6249737982,20555802874
14,"Aug 23, 2019",191.11,195.91,189.56,194.71,6658162377,20920364879
15,"Aug 22, 2019",186.94,194.42,183.38,191.33,7569043874,20555295233
16,"Aug 21, 2019",196.62,197.03,182.69,186.89,7775772700,20075644245
17,"Aug 20, 2019",202.81,203.02,195.62,196.57,6408417610,21112106339
18,"Aug 19, 2019",194.56,203.56,193.11,203.09,6145148692,21810324618
19,"Aug 18, 2019",185.84,197.52,183.69,194.49,5969012024,20884307088
20,"Aug 17, 2019",185.53,186.7,182.59,185.69,5512696513,19936235953
21,"Aug 16, 2019",188.64,188.91,180.38,185.44,7133915837,19907120204
22,"Aug 15, 2019",186.68,189.46,178.14,188.5,8197244441,20233249251
23,"Aug 14, 2019",208.6,209.07,186.33,186.61,7444456154,20027397541
24,"Aug 13, 2019",211.34,211.38,205.42,208.71,5946313205,22396531009
25,"Aug 12, 2019",216.06,216.14,210.95,211.29,5674315559,22670420643
26,"Aug 11, 2019",206.73,216.6,206.51,216.09,6440605605,23183002869
27,"Aug 10, 2019",210.53,213.73,203.79,206.73,6584748527,22176113561
28,"Aug 09, 2019",220.91,221.36,208.25,210.49,6964818795,22576055651
29,"Aug 08, 2019",226.52,226.77,216.52,220.94,6713525644,23694202562
30,"Aug 07, 2019",225.93,229.66,222.78,226.39,7020342210,24275514217
31,"Aug 06, 2019",234.25,239.12,223.55,226.02,7647742672,24232708406
32,"Aug 05, 2019",222.65,235.64,222.6,234.22,7765060287,25108076876
33,"Aug 04, 2019",222.58,224.23,218.49,222.67,5238542572,23867371249
34,"Aug 03, 2019",217.9,224.62,217.33,222.49,5697798687,23845116864
35,"Aug 02, 2019",217.88,222.18,215.98,217.87,6159440229,23347127327
36,"Aug 01, 2019",218.55,218.81,212.91,217.81,5965442642,23337361749
37,"Jul 31, 2019",210.49,218.65,210.44,218.65,6003828340,23425015630
38,"Jul 30, 2019",211.34,213.61,206.87,210.52,5489918859,22551013736
39,"Jul 29, 2019",211.12,213.93,208.76,211.27,5485190664,22627969069
40,"Jul 28, 2019",207.41,212.04,202.25,211.19,5504887934,22616386468
41,"Jul 27, 2019",219.62,223.52,204.9,207.41,6257703908,22208955063
42,"Jul 26, 2019",219.63,220.24,214.13,219.63,5729852178,23514586698
43,"Jul 25, 2019",216.97,224.25,216.14,219.62,6731281160,23510336984
44,"Jul 24, 2019",212.55,217.54,203.89,217.05,7168982843,23232101232
45,"Jul 23, 2019",217.57,218.52,209.64,212.73,6976091534,22767023810
46,"Jul 22, 2019",225.7,226.86,213.45,217.56,6338843919,23281138563
47,"Jul 21, 2019",229.17,229.86,219.03,225.63,6685082868,24141704293
48,"Jul 20, 2019",221.41,234.2,221.19,229.12,7976245988,24511869214
49,"Jul 19, 2019",226.66,226.94,215.84,221.33,7606433131,23675884534
50,"Jul 18, 2019",211.44,229.24,208.04,226.57,9327816059,24232572603
51,"Jul 17, 2019",199.07,217.98,193.99,211.48,9387747640,22616651114
52,"Jul 16, 2019",229.75,234.51,197.38,199.19,9036620494,21298941499
53,"Jul 15, 2019",227.97,235.03,210.39,229.78,9723674244,24566488597
54,"Jul 14, 2019",269.28,269.64,227.27,227.58,8578339386,24328422207
55,"Jul 13, 2019",276.29,276.69,263.07,269.46,6716829429,28801816023
56,"Jul 12, 2019",268.69,278.86,268.0,276.28,8148936015,29526802979
57,"Jul 11, 2019",289.95,290.02,266.09,268.7,10216287022,28713849048
58,"Jul 10, 2019",308.85,313.07,285.57,290.0,11679985167,30985827113
59,"Jul 09, 2019",313.33,318.22,305.29,308.88,10055159803,32998749928
60,"Jul 08, 2019",305.73,314.27,303.5,313.25,9078905628,33461369498
61,"Jul 07, 2019",287.6,310.14,286.11,305.7,8119724981,32650611906
62,"Jul 06, 2019",287.89,295.99,286.67,287.55,7674615025,30707785756
63,"Jul 05, 2019",284.38,293.92,282.69,288.0,8723493015,30751916427
64,"Jul 04, 2019",303.03,303.96,282.77,284.52,8403513106,30377082394
65,"Jul 03, 2019",291.76,303.34,291.4,303.1,9926711979,32356299765
66,"Jul 02, 2019",293.54,295.66,272.6,291.6,10618413952,31124332021
67,"Jul 01, 2019",290.27,301.03,280.02,293.64,10292223948,31338571563
68,"Jun 30, 2019",319.58,322.79,290.7,290.7,10303111000,31020295932
69,"Jun 29, 2019",311.28,322.04,294.75,320.06,10929374565,34149263832
70,"Jun 28, 2019",294.14,313.03,292.94,311.23,11514656820,33202586960
71,"Jun 27, 2019",336.96,343.43,278.57,294.27,14038092503,31389390615
72,"Jun 26, 2019",317.99,361.4,315.95,336.75,16437084081,35916727561
73,"Jun 25, 2019",310.68,318.13,307.64,318.13,9641764965,33925713000
74,"Jun 24, 2019",307.72,312.33,299.56,310.42,8205712062,33100160024
75,"Jun 23, 2019",309.42,318.57,305.76,307.83,8161062380,32819043043
76,"Jun 22, 2019",295.12,315.19,294.73,309.38,10613731255,32980338717
77,"Jun 21, 2019",271.74,295.3,271.74,294.91,9331694140,31433771859
78,"Jun 20, 2019",269.41,274.07,265.5,271.7,6408981097,28955655290
79,"Jun 19, 2019",265.06,270.33,264.75,269.43,5516510947,28710780975
80,"Jun 18, 2019",274.32,274.32,263.14,265.05,6205242504,28240458529
81,"Jun 17, 2019",269.09,275.44,268.35,274.35,6009795781,29227567867
82,"Jun 16, 2019",268.9,278.14,265.54,269.22,9676746453,28677606760
83,"Jun 15, 2019",263.93,271.51,262.12,269.02,8126853944,28652203067
