,Company Name,Author Name,Text,Message ID,Published At,Retweet Count,Favorite Count
0,CHSB,スイスバーグ,"RT @klortu868o: https://t.co/UVhiLrNgMb
色んな意味で話題ｗのスイスボーグの社長が日本向けの説明会やっていますねーｗｗ
色々文句を言いたい人が多いと思うので、よかったらどうぞ！！
$CHSB #仮想通貨 #ICO",1169771357841739776,2019-09-06 00:36:39,1,0
1,CHSB,Schrute Buck,What do you guys think will happen to $CHZ @Chiliz when it starts trading on Binance?  $INS $BTC $DAG $MATIC $WAN… https://t.co/2OCWDMo5ve,1169741626136236036,2019-09-05 22:38:31,0,0
2,CHSB,Crypto squawk,Since 6 pm Chiliz $CHZ has increased by 14.85% (chart L) and SwissBorg $CHSB by 16.49% (chart R). Crypto markets en… https://t.co/4Unu5giEv6,1169737922603573248,2019-09-05 22:23:48,0,1
3,CHSB,Bablu,"RT @AirdropDet: 🔍 New #Airdrop: Swissborg

💲 Total reward: Up to 1750 CHSB[~$15]+ 3k points per referral+$500k worth of BTC (for 20,000 use…",1169723051895771136,2019-09-05 21:24:42,55,0
4,CHSB,CryptoMonitor🔔 [Realtime alerts & MultiConverter],$CHSB 🚀 23 +24.21%  🕐 in the last 24 hours 💵 BTC 0.00000118 / USD 0.0124 🔔 🔴 #Crypto #ToTheMoon #CHSB Telegram Bot ⬇ https://t.co/kFkLc8wL9e,1169667772281962499,2019-09-05 17:45:02,0,0
5,CHSB,CryptoMonitor🔔 [Realtime alerts & MultiConverter],$CHSB 🚀 12 +12.63%  🕐 in the last 24 hours 💵 BTC 0.00000107 / USD 0.0112 🔔 #CHSB Telegram Bot ⬇ https://t.co/kFkLc8wL9e,1169658710505000960,2019-09-05 17:09:02,0,0
6,CHSB,AlertDrop,"SWISSBORG AIRDROP📣🌟🌟🌟🌟🌟
💰up to $1654 in $BTC + $75 in #CHSB

🔹️$51M sold in #ICO
🔹️📌Click link 📌Download app

❗📌Use… https://t.co/DfidjbrNCj",1169658169968271360,2019-09-05 17:06:53,0,0
7,CHSB,VentureDrop,"SWISSBORG AIRDROP📣🌟🌟🌟🌟🌟
💰up to $1654 in $BTC + $75 in #CHSB

🔹️$51M sold in #ICO
🔹️📌Click link 📌Download app

❗📌Use… https://t.co/pCRWD1YwWp",1169658057552465920,2019-09-05 17:06:26,0,0
8,CHSB,VentureDrop,"RT @VentureDrop: SWISSBORG AIRDROP📣🌟🌟🌟🌟🌟
💰up to $1654 in $BTC + $75 in #CHSB

🔹️$51M sold in #ICO
🔹️📌Click link 📌Download app

❗📌Use this c…",1169639475879849984,2019-09-05 15:52:36,1,0
9,CHSB,AlertDrop,"RT @alertdropp: SWISSBORG AIRDROP📣🌟🌟🌟🌟🌟
💰up to $1654 in $BTC + $75 in #CHSB

🔹️$51M sold in #ICO
🔹️📌Click link 📌Download app

❗📌Use this co…",1169639374000144385,2019-09-05 15:52:12,1,0
10,CHSB,Jodi Pamungkas,"RT @AirdropDet: 🔍 New #Airdrop: Swissborg

💲 Total reward: Up to 1750 CHSB[~$15]+ 3k points per referral+$500k worth of BTC (for 20,000 use…",1169550009332686848,2019-09-05 09:57:06,55,0
11,CHSB,AlertDrop,"SWISSBORG AIRDROP📣🌟🌟🌟🌟🌟
💰up to $1654 in $BTC + $75 in #CHSB

🔹️$51M sold in #ICO
🔹️📌Click link 📌Download app

❗📌Use… https://t.co/nQ0jHpSqVM",1169523965427093504,2019-09-05 08:13:36,1,1
12,CHSB,VentureDrop,"SWISSBORG AIRDROP📣🌟🌟🌟🌟🌟
💰up to $1654 in $BTC + $75 in #CHSB

🔹️$51M sold in #ICO
🔹️📌Click link 📌Download app

❗📌Use… https://t.co/qRA5XNFOQH",1169523552355328000,2019-09-05 08:11:58,1,0
13,CHSB,rudi_algibran,"RT @VentureDrop: SWISSBORG AIRDROP📣🌟🌟🌟🌟🌟
💰up to $1654 in $BTC + $75 in #CHSB

🔹️$51M sold in #ICO
🔹️📌Click link 📌Download app

❗📌Use this c…",1169386005004029953,2019-09-04 23:05:24,3,0
14,CHSB,AlertDrop,"RT @alertdropp: SWISSBORG AIRDROP📣🌟🌟🌟🌟🌟
💰up to $1654 in $BTC + $75 in #CHSB

🔹️$51M sold in #ICO
🔹️📌Click link 📌Download app

❗📌Use this co…",1169382164246540288,2019-09-04 22:50:08,2,0
0,MCO,Ayudas_clubes,"RT @MalagaLegends: 📢Desde @MalagaLegends estamos buscando un MCO jugon y puro con experiencia, juego asiciativo. En 352
Interesados MD o co…",1169897791675494400,2019-09-06 08:59:03,3,0
1,MCO,株式会社ミヨシ a.k.a. MCO【公式】,"@hapinavi オールカラーでめちゃくちゃ読み応えありました‼️惜しむらくはすぐにお店にいけないことｗ←
これは名古屋の魅力が詰まりすぎですね…！",1169897776219484161,2019-09-06 08:59:00,0,0
2,MCO,🐾ささみあげ❦ Happy end,@shirokuma_MCO …？,1169897596598382595,2019-09-06 08:58:17,0,0
3,MCO,株式会社ミヨシ a.k.a. MCO【公式】,@cmbar_inc @hapinavi いつか…いつか必ずや…！（涙でモニターがにじむ…😭😭😭）,1169897517032456193,2019-09-06 08:57:58,0,0
4,MCO,🍼みごみご🐣浪速のしかめっ面🐾,@shirokuma_MCO すいみんなかま,1169897456433164292,2019-09-06 08:57:43,0,0
5,MCO,殺戮型紅茶花伝❦ 🐾⚠️暴走中⚠️,@MyoCat_Fuku (&gt;_&lt;o{[ＮＯ…]}o,1169897310702067714,2019-09-06 08:57:09,0,0
6,MCO,抹茶俺,何言ってんだこいつ…,1169897293694164994,2019-09-06 08:57:05,0,0
7,MCO,殺戮型紅茶花伝❦ 🐾⚠️暴走中⚠️,@migomigonyanko むりねる,1169897207815753730,2019-09-06 08:56:44,0,1
8,MCO,おいちい…///,@shirokuma_MCO よんだ？,1169897184503844864,2019-09-06 08:56:39,0,1
9,MCO,抹茶俺,でも全部の列にグリム兄弟がいるって考えたら悪くない…ってなった,1169897168078925824,2019-09-06 08:56:35,0,0
10,MCO,殺戮型紅茶花伝❦ 🐾⚠️暴走中⚠️,@Sasamiagechan49 こぎくりゅ〜,1169897162676658176,2019-09-06 08:56:33,0,1
11,MCO,🐣ぴよまる。,@Miracl_MiLapule ほらね,1169897145501016064,2019-09-06 08:56:29,0,2
12,MCO,🍼みごみご🐣浪速のしかめっ面🐾,@shirokuma_MCO 寝ようず！,1169897108821794816,2019-09-06 08:56:21,0,1
13,MCO,🐣ぴよまる。,"RT @mochi19770128: 今クラン作るためにサブ垢育成してるんで
会ったら本物だと思ってください！ https://t.co/xDQv69WfNw",1169897047593377794,2019-09-06 08:56:06,4,0
14,MCO,ビサージ,"秋に向けて短く。
by VISAGE  STAFF BLOG
#名古屋 #ヘアサロン #VISAGE #ビサージ #TONI&amp;GUY #ヘアスタイル #ヘッドスパ #ケラスターゼ #ヘアモデル #モテ髪 ＃ヘアカラー #AVEDA… https://t.co/qvy7WoMB2T",1169896957617131521,2019-09-06 08:55:44,0,0
0,EDO,Edo Pradana Prasitha,"#Repost @ShopeeID
• • • • • •
Sobat Shopee! Pasti kamu mau dong lihat penampilan SUPER CETAR MEMBAHANA dari… https://t.co/GSJpJBgiGy",1169897997397659648,2019-09-06 08:59:52,0,0
1,EDO,Suleiman Eso,RT @matthewamad: Na fear make Edo winch only de fly for night. Amadioha on patrol. https://t.co/SejAtkaNvq,1169897820146393088,2019-09-06 08:59:10,27,0
2,EDO,M Wildan Fathoni,@Edo_an9 @kampoeng_milan @MafiaWasit https://t.co/xP3oJIDuSJ,1169897798986153985,2019-09-06 08:59:05,0,0
3,EDO,Nao(なお先生),I went to Edo Tokyo Museum😉 https://t.co/K3QOs4chBV,1169897756283957249,2019-09-06 08:58:55,0,1
4,EDO,Nor,"📮TELEGRAM KANALA 📮

Astero antiespezismoaren inguruko ekitaldi, textu edo irakurgairen bat zabaltzen dugu gure kana… https://t.co/ZH1grj2kGQ",1169897749887647744,2019-09-06 08:58:53,0,1
5,EDO,宮崎の蜂サポ🐝@底辺絵師@えどれなー🌊🎯💜,"@edo_lena やっぱり江戸レナといえば

むらさき

ですよね(///∇///)💜🐝",1169897734926503936,2019-09-06 08:58:50,0,0
6,EDO,Local Man,"RT @StatiSense: States' Unemployed Count (Q3 2018)

Rivers: 1.7m
A/Ibom: 1.4m
Kano: 1.3m
Lagos: 1.1m
Kaduna: 940.5K
Imo: 880.4K
Delta: 791.…",1169897636079403008,2019-09-06 08:58:26,18,0
7,EDO,氷結こんぶ,"@t_ogiri2 「南蛮か！」のネタが放送コードにかかった
【大喜利】江戸時代からタイムスリップしたお侍漫才師がコンテストで落選した理由 #og_edo",1169897578239905792,2019-09-06 08:58:12,0,0
8,EDO,KoroGMoraza,"RT @BakartxoR: Hondarribian, @Jaizkibel6-aren desfile entsaioan, konpainiak #skolae-ri saria emateko ekitaldia hastear.

Gezurra badirudi e…",1169897453534896132,2019-09-06 08:57:43,19,0
9,EDO,hayo,RT @aliyaimadudeen: Indonesia 101 by Edo Syahputra on Instagram (1/2) https://t.co/6AH1HL1EF1,1169897434228477953,2019-09-06 08:57:38,4,0
10,EDO,METROWATCH,Official: Teachers in Edo Are Highly Motivated with Obaseki-led https://t.co/fDAVBj4tRj,1169897412418125824,2019-09-06 08:57:33,0,0
11,EDO,EdoBeta,"Governor Obaseki: Always walking his talk

(1) Obaseki inaugurates power generation committee:

A six-man Joint Dev… https://t.co/5PLtmPVIdw",1169897397301854209,2019-09-06 08:57:29,0,2
12,EDO,JOKER 🃏,@Manyu_tarak Parledhu edo la opinchu mama,1169897381225086977,2019-09-06 08:57:25,0,0
13,EDO,きあら🇵🇹💜,急遽今日ラトゥラトゥのハイタッチ会に参加できることになったのですが どなたか当日券1枚代行していただけないでしょうか😭,1169897339328184321,2019-09-06 08:57:15,0,0
14,EDO,QEDNG,Ini Edo analyses her personality - https://t.co/Uc6lihnbPf,1169897289734705157,2019-09-06 08:57:04,0,0
0,CRPT,Energiwik,@Louna_Crpt @JulieClerissy Si si justement fais attention à toi 😈,1169886961508610049,2019-09-06 08:16:01,0,0
1,CRPT,dinedine,😞❤️,1169884366257811462,2019-09-06 08:05:42,0,1
2,CRPT,W.HASSAN TARIQ,@haroon_natamam AS A WHOLE NATION WE R CRPT AND SUPPORT TO CRPT....,1169882333454852096,2019-09-06 07:57:38,0,0
3,CRPT,name cannot be blank,@OleBitcephus @coinbase @CashApp How do you buy bitcoin on cash app? Just installed one but.only.thing it allows to request and transfer  ££,1169877931625086977,2019-09-06 07:40:08,0,0
4,CRPT,ソラソラさん/絵描き勉強,"RT @hyutatatantan: 原曲迷子な撥条少女時計作りました〜
#コンパス
#コンパス音楽 https://t.co/7HCnUodWbx",1169875888747343875,2019-09-06 07:32:01,9,0
5,CRPT,FreeCoin Basecamp,"🎁86+29 CRPT(Crypterium=26$) #Airdrop🎁
💎Join here🚀https://t.co/lRUAFAqLDK
1. Join Telegram(텔방참여)
2. Enter email, ERC… https://t.co/edkfxvFQZa",1169874862749319170,2019-09-06 07:27:57,0,0
6,CRPT,LowCapWhaleBot,"$Crypto #lowcaps 1H returns

Top performers
$CRPT +6.7%
$GRN +5.5%
$ONE +5.4%

Worst performers
$LINA -16.2%
$FXC -… https://t.co/TaimvFMYQK",1169873726126444545,2019-09-06 07:23:26,0,0
7,CRPT,すずせん,@sorasora3_crpt 草,1169869849058611205,2019-09-06 07:08:01,0,0
