,Company Name,Author Name,Text,Message ID,Published At,Retweet Count,Favorite Count
0,DROP,Arb Cruncher,RT @amruthasuri: Arbiswap BTC-CHSB Arbitrage Deal Alert! #CryptoCurrency #arbitrage via https://t.co/gydENhRsJO https://t.co/5tuJrCFOvV,1167950535074312192,2019-09-01 00:01:21,2,0
1,DROP,Back/Lay,RT @amruthasuri: Arbiswap BTC-CHSB Arbitrage Deal Alert! #CryptoCurrency #arbitrage via https://t.co/gydENhRsJO https://t.co/5tuJrCFOvV,1167950470645612544,2019-09-01 00:01:06,2,0
2,DROP,SB,Arbiswap BTC-CHSB Arbitrage Deal Alert! #CryptoCurrency #arbitrage via https://t.co/gydENhRsJO https://t.co/5tuJrCFOvV,1167949452448940032,2019-08-31 23:57:03,2,0
3,DROP,Arb Cruncher,RT @arbiswap: Arbiswap BTC-CHSB Arbitrage Deal Alert! #arbitrage #cryptocurrency https://t.co/Wdp6Dj1FIn,1167927899283804161,2019-08-31 22:31:24,3,0
4,DROP,Back/Lay,RT @arbiswap: Arbiswap BTC-CHSB Arbitrage Deal Alert! #arbitrage #cryptocurrency https://t.co/Wdp6Dj1FIn,1167927821198454790,2019-08-31 22:31:06,3,0
5,DROP,Caulon,Arbiswap BTC-CHSB Arbitrage Deal Alert! #arbitrage #cryptocurrency https://t.co/Wdp6Dj1FIn,1167924633233838087,2019-08-31 22:18:26,3,0
6,DROP,Startup Feeds,"RT @jmestrella92: ""What you are what you do""
Thanks @swissborg 

#WeAreSwissborg #blockchain #cryptotrading #cryptocurrency #fintech #Wealt…",1167480724699508736,2019-08-30 16:54:30,1,0
7,DROP,J.M.Estrella92,"""What you are what you do""
Thanks @swissborg 

#WeAreSwissborg #blockchain #cryptotrading #cryptocurrency #fintech… https://t.co/bVHIcLnDVY",1167480702344060929,2019-08-30 16:54:24,1,0
8,DROP,Oliver,"#Giveaway 
#Shareyourwealth
#chsb
#cryptocurrency 
#CryptoNews 
#btc
#eth

#keepitgoing @pulte @swissborg @SwissborgJ",1167415970366967808,2019-08-30 12:37:11,0,0
9,DROP,Hemant Parakh,"RT @airdropking_io: 📣 NEW #AIRDROP - ⭐⭐⭐⭐⭐  5/5 stars

[Reminder] 
#Swissborg (1750 $CHSB) (estimated value: 💰 $14)

Click here: 👉  https:/…",1166752166775685120,2019-08-28 16:39:28,2,0
10,DROP,99airdrops,"@swissborg airdrop with a score ⭐ 10 is live now!

The airdrop will be live until 28th of September. Grab  your 💰 1… https://t.co/2HTgYW7dNc",1166708663186329600,2019-08-28 13:46:36,0,0
0,DROP,Trading Newz #Crypto #Blockchain #Technology,"RT @ethadvocate: Always great to see a new #MCO #VISA Card recipient post their card arrival &amp; share their crypto action.

Thanks Chris 👍…",1169886273877626880,2019-09-06 08:13:17,1,0
1,DROP,CryptoAdvocate 🇦🇺,"Always great to see a new #MCO #VISA Card recipient post their card arrival &amp; share their crypto action.

Thanks Ch… https://t.co/Efvh70xlX4",1169885979613614080,2019-09-06 08:12:07,1,1
2,DROP,Paulo Santoshi,"RT @ethadvocate: Welcome to @golemproject with #GNT as the latest token added to the @cryptocom card/wallet/app platform 💥

Great to have y…",1169882783474311170,2019-09-06 07:59:25,1,0
3,DROP,CryptoAdvocate 🇦🇺,@Cointelegraph - @cryptocom welcomes @golemproject with their #GNT token to the @cryptocom card/wallet/app platform… https://t.co/9Fnh1LiUra,1169879420485562373,2019-09-06 07:46:03,0,0
4,DROP,CryptoAdvocate 🇦🇺,"Welcome to @golemproject with #GNT as the latest token added to the @cryptocom card/wallet/app platform 💥

Great to… https://t.co/tAlmJCQGDc",1169879141153329160,2019-09-06 07:44:57,1,1
0,DROP,Arb Cruncher,RT @arbiswap: Arbiswap BTC-EDO Arbitrage Deal Alert! #arbitrage #cryptocurrency https://t.co/7Yrh4tLm5K,1169033921985732609,2019-09-03 23:46:21,2,0
