,Company Name,Author Name,Text,Message ID,Published At,Retweet Count,Favorite Count,Processed Text,Predicted
0,DROP,Arb Cruncher,RT @amruthasuri: Arbiswap BTC-CHSB Arbitrage Deal Alert! #CryptoCurrency #arbitrage via https://t.co/gydENhRsJO https://t.co/5tuJrCFOvV,1167950535074312192,2019-09-01 00:01:21,2,0,   Arbiswap BTC-CHSB Arbitrage Deal Alert!     via,ham
2,DROP,SB,Arbiswap BTC-CHSB Arbitrage Deal Alert! #CryptoCurrency #arbitrage via https://t.co/gydENhRsJO https://t.co/5tuJrCFOvV,1167949452448940032,2019-08-31 23:57:03,2,0,Arbiswap BTC-CHSB Arbitrage Deal Alert!     via,ham
3,DROP,Arb Cruncher,RT @arbiswap: Arbiswap BTC-CHSB Arbitrage Deal Alert! #arbitrage #cryptocurrency https://t.co/Wdp6Dj1FIn,1167927899283804161,2019-08-31 22:31:24,3,0,   Arbiswap BTC-CHSB Arbitrage Deal Alert!    ,ham
5,DROP,Caulon,Arbiswap BTC-CHSB Arbitrage Deal Alert! #arbitrage #cryptocurrency https://t.co/Wdp6Dj1FIn,1167924633233838087,2019-08-31 22:18:26,3,0,Arbiswap BTC-CHSB Arbitrage Deal Alert!    ,ham
8,DROP,Oliver,"#Giveaway 
#Shareyourwealth
#chsb
#cryptocurrency 
#CryptoNews 
#btc
#eth

#keepitgoing @pulte @swissborg @SwissborgJ",1167415970366967808,2019-08-30 12:37:11,0,0,                      ,ham
0,DROP,Arb Cruncher,RT @arbiswap: Arbiswap BTC-EDO Arbitrage Deal Alert! #arbitrage #cryptocurrency https://t.co/7Yrh4tLm5K,1169033921985732609,2019-09-03 23:46:21,2,0,   Arbiswap BTC-EDO Arbitrage Deal Alert!    ,ham
2,DROP,Caulon,Arbiswap BTC-EDO Arbitrage Deal Alert! #arbitrage #cryptocurrency https://t.co/7Yrh4tLm5K,1169032161128779776,2019-09-03 23:39:21,2,1,Arbiswap BTC-EDO Arbitrage Deal Alert!    ,ham
3,DROP,Krypto_Boss,"Binance
#EDO/BTC Stoploss 
Loss: 4.9383% #Binance , #BTC , #Bitcoin , #CryptoCurrency , #CryptoTrading , #CryptoSignals",1168622880541814785,2019-09-02 20:33:01,0,0,"Binance   Stoploss Loss: 4.9383%   ,   ,   ,   ,   ,  ",ham
4,DROP,Krypto_Boss,"Binance
#EDO/BTC All entry targets achieved
Average Buy Price: 0.0000324 #Binance , #BTC , #Bitcoin ,… https://t.co/H1btv3WuhA",1168536600495775744,2019-09-02 14:50:10,0,1,"Binance   All entry targets achieved Average Buy Price: 0.0000324   ,   ,   ,…",ham
5,DROP,Krypto_Boss,"Buy #EDO/BTC 
 
 Buy Under: 0.00003240 

 Target 1: 0.00003402 
 Target 2: 0.00003564 
 Target 3: 0.00003726 
 
 St… https://t.co/pPHp93DvNK",1168536596301385730,2019-09-02 14:50:09,0,1,Buy    Buy Under: 0.00003240  Target 1: 0.00003402 Target 2: 0.00003564 Target 3: 0.00003726  St…,ham
6,DROP,Krypto_Boss,"BINANCE
#BTC_EDO 
LONG
SL 4.8% #Binance , #BTC , #Bitcoin , #CryptoCurrency , #CryptoTrading , #CryptoSignals",1168536592740433920,2019-09-02 14:50:08,0,1,"BINANCE   LONG SL 4.8%   ,   ,   ,   ,   ,  ",ham
7,DROP,ProjectX - XtradeBOT,"📢NEW TRADE
🌎Exchange: #Binance
📌#EDOBTC
⏳Buy Date : 2019-08-30 19:08:38
⌛Sell Date : 2019-08-30 22:23:03
📈Buy : 0.0… https://t.co/oaBOZKpUww",1167533245854101504,2019-08-30 20:23:12,0,0,📢NEW TRADE 🌎Exchange:     ⏳Buy Date : 2019-08-30 19:08:38 ⌛Sell Date : 2019-08-30 22:23:03 📈Buy : 0.0…,ham
